year,country,pref,reuse,variance,covariance,exports,imports,consumption,maxflowreuse,leontiefreuse,impshare,logsize
1997,SVK,.39414063,.49787733,5.8051382e-06,-.00036885217,11021.228,12608.458,22225.805,.74007565,.37171116,.3792356,10.411721
1997,SVN,.4293457,.43646508,.000032270502,-.0016811662,9365.7686,9752.3926,19635.971,.63723832,.33815131,.33626923,10.275111
1997,SWE,.39492187,.33872297,.000010261138,.00014097986,101699.77,78082.055,215802.52,.51366854,.26296899,.24592596,12.668241
1997,TUR,.47802734,.29552451,.000013224549,.0011077945,44182.52,52401.379,266665.31,.76101178,.17321652,.16857566,12.647058
1997,TWN,.37148437,.39959335,.000016288353,.00081279321,141549.78,126404.93,285142.09,.61420292,.32979837,.29624406,12.963818
1997,USA,.48095703,.19176142,.000017871691,-.0013907608,902571.38,969989.94,8439902,.58538914,.095638357,.10382582,16.050081
1998,AUS,.28564453,.18572854,5.6473655e-06,.001713131,71546.422,74824.578,370147.34,.59173739,.12613709,.16940375,12.998372
1998,AUT,.46044922,.36885753,4.9998444e-06,.00031882434,77143.125,76640.273,200346.42,.58462226,.26477298,.27619156,12.533539
1998,BEL,.40209961,.46810466,.000015983487,.00071600551,162774.11,144436.83,226313.45,.58673674,.38923725,.37121934,12.87156
1998,BGR,.46044922,.4683862,.000030216235,.00092836784,5779.9995,5314.2168,11781.535,.67240208,.32008204,.30260548,9.7734661
1998,BRA,.53308105,.22581752,9.7379079e-06,-.0024782023,58540.883,70462.461,811565.13,.71900052,.086886488,.080981471,13.676371
1998,CAN,.41176757,.33821547,.000010081548,-.00065349892,244423.69,218842.69,570410.06,.52424496,.27372262,.26857343,13.61074
1998,CHN,.27158204,.20148404,1.8732198e-06,.00215573,207431.42,152027.78,971775.13,.51960588,.12728886,.12892379,13.980352
1998,CYP,.60969239,.44743001,.00002647881,-.0011731896,2095.2241,4033.8838,11033.02,.99454337,.28315863,.30726758,9.4825211
1998,CZE,.35507813,.44904178,3.7251873e-06,-.00043165372,30641.168,31512.811,61100.008,.6859864,.32292852,.34349692,11.426726
1998,DEU,.45361328,.29265648,7.0088026e-06,-.0013108969,600858.5,510269.03,1986871.1,.47362283,.1894971,.19718793,14.766292
1998,DNK,.4284668,.32969698,.00002664,.00029630322,59002.918,52477.117,151669.22,.51780212,.2699489,.24909377,12.258059
1998,ESP,.47802734,.35403728,.000048481328,.0012295245,132596.05,150396.28,592499.13,.66509241,.22443779,.20741592,13.494059
1998,EST,.39257813,.5074842,7.0843548e-06,-.00047963206,3484.3118,4203.4507,6250.2275,.73735493,.39855778,.43180788,9.1834354
1998,FIN,.34760743,.30162138,.000012344664,-.00064009137,48939.293,36485.121,109403.46,.48291355,.23200862,.23041864,11.972517
1998,FRA,.52019042,.33345908,.0001092387,-.00036896276,356010.31,308308.41,1343418,.51589948,.21576843,.1814189,14.345802
1998,GBR,.42231447,.27381101,5.2460177e-06,-.0034558508,360645.84,345103.03,1368523,.52324361,.17481823,.19957741,14.363152
1998,GRC,.58623046,.38589287,.000044469169,-.0011015772,11700.452,32574.074,149687.06,1,.22263718,.20183763,11.991564
1998,HUN,.53308105,.59410965,7.2892008e-06,-.000081094389,24583.807,27128.314,48309.563,.81360364,.40023744,.37216437,11.196753
1998,IDN,.25341797,.2577714,.000022970204,-.00066809548,49432.227,36952.926,100351.33,.53114229,.21180969,.24670883,11.916946
1998,IND,.42055663,.22151713,.000027553331,-.00078433222,49617.254,52971.809,435023.47,.80018604,.11335059,.10930119,13.091163
1998,IRL,.28154296,.44420916,8.8012630e-06,-.00063405838,67689.961,55125.438,70640.969,.59373033,.39373645,.39850405,11.837404
1998,ITA,.48876953,.33966017,.000072928684,-.0011899989,279199.72,245836.95,1121118.1,.54296207,.17711586,.17555797,14.15221
1998,JPN,.44956055,.14437978,.000022154723,.00023112027,422241.16,305787.91,3742991,.43775007,.074745506,.07341437,15.242283
1998,KOR,.33940428,.35207024,.000012114221,-.00058079307,154804.5,106221.76,306462.69,.54735333,.28012529,.23028249,13.041733
1998,LTU,.49853516,.48268029,.000015806187,-.00084882544,4172.6782,5658.8638,11910.408,.7959851,.33128098,.35185185,9.685523
1998,LUX,.34008789,.57238489,4.5980205e-06,.00062129542,21319.361,18844.846,15846.179,.65391165,.54096764,.50705159,10.523137
1998,LVA,.38710937,.39234042,.000024328194,.0016713955,2815.4558,3445.5894,6987.9175,.67356235,.28618774,.35146976,9.1904821
1998,MEX,.62238771,.45789465,.00009144831,-.0010622793,121689.77,124555.82,466347.81,.71768218,.2941063,.21181609,13.284546
1998,MLT,.56630862,.60681707,.000038996361,-.00010564389,2297.1777,2924.4392,4318.2754,.76932782,.46794054,.44206181,8.797164
1998,NLD,.4293457,.4238629,6.8903228e-06,-.00016874047,207986.08,178706.42,356685.81,.56703961,.32099143,.31647834,13.244
1998,POL,.46240234,.37138864,6.0030125e-06,.0010539626,44720.551,50367.117,169413.73,.64608663,.21088248,.23521276,12.274359
1998,PRT,.49924317,.43704829,.000010107948,.0011496777,29811.219,41710.367,123401.34,.79785645,.2832408,.27223858,11.939582
1998,ROM,.38398439,.34688213,7.5197086e-06,.00009344006,9329.5967,12425.021,42986.27,.90106118,.2357143,.23750004,10.865055
