Year;Country;Bending;Reuse;Variance;Covariance;Exports;Imports;Consumption;Max Flow Reuse;Min Flow Reuse;Leontief Reuse
2009;NLD;0.698828125;0.426752902;3.85E-06;-0.001133975;431915.971;362207.7;694372.9374;0.581371611;0.19206216;0.346183672
2009;POL;0.750390625;0.412799116;4.96E-06;-0.002356565;165890.0608;158895.3922;406349.7512;0.619966151;0.051100418;0.289063818
2009;PRT;0.697265625;0.382051178;2.36E-05;-3.89E-04;56774.35462;77465.8001;241008.2465;0.74246384;0.009780785;0.275049176
2009;ROU;0.501855469;0.310431093;2.24E-06;-9.84E-04;46893.38914;56842.50005;165733.6942;0.710503988;0.016383067;0.240771555
2009;RUS;0;0.054074027;2.86E-06;-0.012742495;286686.3468;216665.4578;1066747.671;0.244352778;1.02E-16;0.053045049
2009;RoW;0.480175781;0.278844397;1.51E-05;1.00E-04;2360037.219;2797099.208;8143928.478;0.722813326;0.016401078;0.241312163
2009;SVK;0.773828125;0.515062796;1.65E-06;-6.95E-04;57239.25845;55238.94692;84099.72688;0.638341057;0.265560766;0.417747042
2009;SVN;0.705175781;0.434587847;3.25E-06;0.001354559;24932.81611;24863.44795;46213.1777;0.601295236;0.212662374;0.363544653
2009;SWE;0.708105469;0.387948048;4.74E-06;-6.93E-04;181913.1667;152138.6113;351008.9235;0.547625417;0.092625128;0.306906364
2009;TUR;0.662109375;0.243176629;1.20E-05;0.002321845;117814.3359;136836.0124;603881.3303;0.555010097;0.018511961;0.179539893
2009;TWN;0.729199219;0.462251098;4.88E-06;-8.59E-04;229938.5594;189322.1253;329049.4563;0.605960182;0.272959798;0.424338008
2009;USA;0.612109375;0.158048687;1.06E-05;0.001300687;1402113.705;1779776.512;1.45E+07;0.706197006;0;0.113753136
2008;AUS;0.524609375;0.195026796;3.36E-06;0.001450614;243242.166;223979.5048;984650.0011;0.520720864;0;0.157850659
2008;AUT;0.713378906;0.432015761;1.47E-06;5.30E-04;218578.1557;197448.3131;376966.8535;0.569666239;0.152464417;0.34038804
2008;BEL;0.762109375;0.54384812;2.48E-06;0.001143156;375094.153;354991.5251;470776.1657;0.657479503;0.296725019;0.461207012
2008;BGR;0.699609375;0.54552084;3.88E-06;4.01E-04;28533.01439;37860.24387;54463.69157;0.825112761;0.160257295;0.439233083
2008;BRA;0.590234375;0.193399563;1.32E-06;7.21E-04;225925.7872;211376.0239;1528972.504;0.639031859;2.58E-16;0.130192171
2008;CAN;0.587890625;0.279209718;9.44E-06;-0.001693952;511222.8189;465299.2361;1411603.129;0.503976542;0.024872924;0.225302858
2008;CHN;0.698828125;0.269521428;4.37E-06;-9.09E-04;1581532.916;1165162.304;4158318.537;0.593421731;0;0.225737144
2008;CYP;0.461425781;0.379114442;1.48E-05;0.001140122;5147.430495;11415.83903;29352.52589;0.85147537;0.071124532;0.302124485
2008;CZE;0.787890625;0.537379079;1.08E-05;-5.84E-04;160845.9207;149210.1479;201160.0176;0.681784123;0.292711815;0.455293616
2008;DEU;0.694140625;0.337924027;1.74E-06;-0.001070418;1671979.628;1323009.708;3129273.033;0.485368717;0.071752747;0.275408935
2008;DNK;0.706347656;0.449629257;8.85E-06;2.19E-04;172483.9355;156527.1215;302105.1031;0.596557913;0.226379723;0.387573734
2008;ESP;0.750390625;0.410113959;4.59E-06;-0.00605102;366573.1715;483950.5663;1659682.139;0.823843205;0.036372145;0.293423698
2008;EST;0.637890625;0.441775054;6.24E-06;-3.36E-04;13084.97261;13935.87985;23128.26153;0.642136036;0.143399697;0.374614161
2008;FIN;0.655078125;0.398073248;1.55E-05;-5.65E-05;123398.0186;108837.9628;241733.9676;0.624132891;0.092985842;0.340189626
2008;FRA;0.755859375;0.372147004;5.57E-06;0.003446976;704818.8809;745498.9186;2765315.165;0.652778128;0.004674549;0.277751097
2008;GBR;0.551171875;0.245464853;1.16E-05;7.51E-04;737461.6494;748582.5061;2594315.153;0.542105555;0.033760809;0.199897596
2008;GRC;0.476074219;0.355256981;1.11E-05;-5.70E-04;60927.84465;115536.1327;380873.2623;0.694156852;0.117051421;0.293649853
2008;HUN;0.738574219;0.574800415;5.48E-06;-8.96E-04;116244.7175;116238.9654;146158.4999;0.719512541;0.308700648;0.48055892
2008;IDN;0.201171875;0.182261505;1.20E-05;2.33E-04;150603.2965;137567.5178;506276.7685;0.579656121;0;0.16761508
2008;IND;0.647265625;0.30711973;1.26E-05;-8.31E-04;259622.8954;294846.6858;1329637.334;0.813878398;0.034845816;0.219015465
2008;IRL;0.576171875;0.46458649;4.50E-06;7.86E-05;213772.9474;181990.3628;219650.3349;0.590779285;0.237798593;0.420952476
2008;ITA;0.730957031;0.356258194;3.80E-06;0.001102573;620446.2325;633477.9623;2211442.792;0.659030178;3.75E-16;0.2555083
2008;JPN;0.712792969;0.25543058;8.00E-06;-0.003423464;861051.1597;782839.9845;4735979.682;0.656591936;2.70E-16;0.180821719
2008;KOR;0.713378906;0.47591487;7.84E-06;3.99E-04;495057.2989;473784.9223;898678.9557;0.741179976;0.124501562;0.416253176
2008;LTU;0.653515625;0.493977909;5.61E-06;-3.47E-04;24346.73257;29376.43802;49922.23486;0.69949463;0.181585009;0.393175262
2008;LUX;0.740332031;0.646130592;1.28E-05;5.05E-04;90750.60586;74058.07531;39493.36841;0.673348653;0.545409122;0.616664065
2008;LVA;0.576171875;0.36487892;3.16E-06;5.36E-04;12076.11245;16280.53567;36267.06761;0.761973623;0.064506312;0.287890147
2008;MEX;0.653515625;0.356993913;2.66E-05;-4.05E-04;284015.8771;294482.5077;1106151.834;0.623174662;0.104492242;0.288145793
2008;MLT;0.665234375;0.522407009;7.17E-06;3.12E-04;5961.310997;6853.357676;8970.689386;0.688240985;0.242524607;0.437821438
2008;NLD;0.706347656;0.448174489;4.57E-06;2.92E-04;527855.1144;438605.7237;751489.3769;0.586158946;0.224412043;0.370869016
2008;POL;0.762109375;0.457398228;5.88E-06;0.002593429;213238.2919;225277.3744;520890.1697;0.694084727;0.055156125;0.326407507
2008;PRT;0.692578125;0.436821024;2.61E-05;-3.49E-04;72611.11583;100750.8945;265071.77;0.779899415;0.078784558;0.329919186
2008;ROU;0.532421875;0.360286578;5.17E-06;9.33E-05;60280.25;86273.89949;220896.9062;0.770872556;0.012993759;0.279602536
2008;RUS;0;0.072595999;6.95E-06;-0.021659355;424573.452;322083.9598;1409500.772;0.307071686;0;0.071086302
2008;RoW;0.437109375;0.288863383;2.49E-05;2.19E-04;3336283.803;3569753.91;8519423.886;0.655816052;0.080884315;0.259637496
2008;SVK;0.780859375;0.569090133;1.16E-06;8.67E-04;73507.38015;72874.14163;92710.24796;0.691115906;0.310660661;0.466144171
2008;SVN;0.716308594;0.488301119;5.48E-06;-2.27E-04;32166.34057;34397.05637;54070.79185;0.649847012;0.254356922;0.411504119
2008;SWE;0.708105469;0.418367129;3.87E-06;-8.79E-04;248132.5955;208723.9229;424529.6259;0.568439953;0.118565946;0.336211388
2008;TUR;0.662890625;0.299071602;1.57E-05;-7.07E-04;147548.2991;192754.4439;746949.6903;0.670437382;0.036224237;0.223346952
2008;TWN;0.749707031;0.529995936;7.29E-06;0.001104499;288769.5137;258045.0856;364682.366;0.674098242;0.353873539;0.486292293
2008;USA;0.637890625;0.20960332;1.35E-05;-0.001494823;1641838.639;2337644.785;1.51E+07;0.847093315;0;0.15106355
2007;AUS;0.512109375;0.192129033;3.14E-06;0.001828811;195359.1986;203614.1455;916600.6632;0.573474889;0;0.152054336
2007;AUT;0.712207031;0.42708997;9.12E-07;2.40E-04;194688.0976;174264.314;338807.9358;0.557703818;0.147080984;0.333086373
2007;BEL;0.752734375;0.511376021;2.31E-06;9.10E-04;324688.8369;292889.7922;411351.6355;0.620308499;0.26957755;0.43365764
2007;BGR;0.708105469;0.555799306;3.13E-06;-0.001147056;23672.7994;30675.4327;44046.72969;0.835251952;0.147514775;0.44449452
2007;BRA;0.609765625;0.179930036;2.60E-06;-7.68E-04;182673.1338;153431.6348;1253047.484;0.563931335;3.19E-16;0.118646908
2007;CAN;0.634765625;0.292264854;1.24E-05;-7.80E-04;479760.7026;429994.4633;1321415.959;0.495930366;0.061537562;0.232982957
2007;CHN;0.698144531;0.289550988;4.55E-06;0.001238417;1342004.109;973630.8358;3176598.337;0.592742742;0;0.245134214
2007;CYP;0.459082031;0.353034015;7.20E-06;9.57E-04;4611.579024;9632.783878;24877.60279;0.808623626;0.076807695;0.28212292
2007;CZE;0.784765625;0.535481185;9.77E-06;-0.001213954;133682.1416;123846.6438;160249.1942;0.675009607;0.299242702;0.459058924
2007;DEU;0.676171875;0.324858799;2.46E-06;5.02E-04;1510355.823;1170974.864;2835592.011;0.471246971;0.058186669;0.266843455
2007;DNK;0.680859375;0.427249609;6.74E-06;4.51E-04;147311.5726;135452.416;274629.126;0.593868204;0.197900888;0.367050465
2007;ESP;0.740332031;0.403319007;4.59E-06;3.26E-04;334952.8747;453611.8549;1494496.884;0.815443181;0.023474699;0.291960825
2007;EST;0.634765625;0.455431946;1.14E-05;-7.07E-04;11380.25569;13466.35096;22206.61889;0.682703565;0.128242573;0.381138057
2007;FIN;0.656640625;0.385122834;1.51E-05;-3.60E-04;109319.493;92552.16894;215165.8067;0.595024864;0.080633178;0.326039414
2007;FRA;0.769921875;0.367995033;2.69E-06;2.38E-06;636358.9652;660250.9988;2489622.856;0.63059036;0.001105816;0.266700526
2007;GBR;0.556640625;0.230046308;9.00E-06;-7.75E-06;703544.6465;729681.2552;2728347.992;0.54562023;0.001520825;0.18139729
2007;GRC;0.483105469;0.338638073;1.26E-05;-0.001064057;51368.76767;98724.66465;337117.1799;0.70050915;0.111112145;0.27999066
2007;HUN;0.736816406;0.572896802;6.32E-06;1.95E-04;103086.9679;101586.1914;127523.6816;0.71303518;0.319507476;0.482467199
2007;IDN;0.251025391;0.176805769;6.72E-06;1.68E-04;125466.0794;102583.4474;415640.8274;0.547340823;0.003569616;0.159944902
2007;IND;0.605859375;0.293093975;1.44E-05;0.001455339;242725.1209;268350.444;1204681.997;0.821608157;0.027289572;0.210978081
2007;IRL;0.577734375;0.447020185;5.72E-06;4.26E-04;202338.865;171829.4849;215565.3852;0.574755887;0.214353848;0.40626232
2007;ITA;0.722753906;0.349528443;1.77E-06;2.83E-04;574777.8683;577897.9514;2017936.921;0.647323085;0;0.250743305
2007;JPN;0.680859375;0.212918775;5.72E-06;0.002168256;772058.4799;639123.6429;4201592.766;0.56713956;1.51E-16;0.153177243
2007;KOR;0.706933594;0.401041013;6.53E-06;-6.91E-05;436228.1594;385382.9787;966246.3363;0.667522744;0.029068111;0.342133891
2007;LTU;0.577734375;0.403070805;3.53E-06;0.001154253;17519.47616;22277.30432;41775.60354;0.620050238;0.071244218;0.316850193
2007;LUX;0.739746094;0.641892945;1.47E-05;-3.47E-04;79144.18051;64671.50393;34660.91308;0.666947897;0.546241185;0.612541646
2007;LVA;0.607421875;0.407698062;7.35E-06;4.68E-05;10035.70747;15338.7995;32441.6419;0.837861552;0.037504898;0.304406079
2007;MEX;0.662890625;0.367169125;2.35E-05;-3.98E-04;275760.1254;277634.0123;1022320.781;0.616835161;0.111820577;0.295084692
2007;MLT;0.684765625;0.537050905;1.25E-05;-2.40E-04;5320.752546;6223.194436;7877.482005;0.696769887;0.266150527;0.45490178
2007;NLD;0.711621094;0.434562765;4.02E-06;-7.54E-04;436276.723;357993.6781;671502.0484;0.573827602;0.187223026;0.350444733
