year	country	leontiefreuse	domesticpref	reuse	exports	imports	consumption	maxflow	importshare
1999	POL	.21130097	.48789063	.39533845	40164.016	47847.688	166385.56	27020.197	.23165232
1999	PRT	.27937695	.50810546	.42323592	29866.783	43418.066	127450.51	22394.635	.27599043
1999	ROM	.23502493	.31914061	.31134602	9671.4961	11308.976	36470.301	6426.7622	.2450918
1999	RUS	.10397322	0	.097302951	73610.602	40972.586	151148.77	20662.07	.18229534
1999	RoW	.23529913	.41210938	.33857912	824736.13	1054353.1	3486683.8	643263	.24454893
1999	SVK	.37942913	.38476563	.48674589	11639.414	12105.049	20114.07	7606.7998	.38121954
1999	SVN	.33962265	.42460936	.43324947	9573.6982	10471.028	21511.938	6151.3018	.33684459
1999	SWE	.27927926	.41289061	.37250775	107075.32	85453.43	222384.7	57559.855	.2593742
1999	TUR	.17245162	.51220703	.32328489	40944.055	45700.191	257564.53	28362.914	.15309507
1999	TWN	.3255831	.39335936	.39471686	140576.38	125228.89	282906.5	76166.711	.29571182
1999	USA	.094475523	.46210939	.18079136	889289.06	1111816.8	9609266	570581.69	.10590188
2000	AUS	.13249035	.31210938	.20483059	90273.75	83571.797	376251.41	46240.422	.17913674
2000	AUT	.28180087	.43398437	.37749597	78442.82	75856.156	178951.73	44051.914	.29470769
2000	BEL	.41493711	.42539063	.49774107	161850.19	147219.95	208391.42	96544.961	.39763212
2000	BGR	.36506972	.43398437	.49912643	6339.8667	6601.3638	12258.746	4424.8975	.35493851
2000	BRA	.12000041	.52158201	.28565338	64412.277	71432.039	612024.94	47023.426	.10560039
2000	CAN	.26991722	.37773436	.33133954	319788.34	263380.94	646112.5	153723.72	.27267906
2000	CHN	.17040917	.30039063	.26806006	279547	234740.13	1164834.3	172487.58	.1625195
2000	CYP	.32303679	.62412107	.48980629	2173.2644	4242.1309	10854.759	1803.1974	.32561585
2000	CZE	.3828789	.36289063	.50593787	33723.871	35362.211	57043.332	24347.473	.38959238
