Country;Bending;Reuse;Variance;Covariance;Year;Exports;Imports;Consumption;Max Flow
CAN;0.394140625;0.335474401;1.68E-04;-2.58E-04;1999;276309.7035;238488.8346;601260.2737;135494.035
CHN;0.296582031;0.231779109;8.61E-05;0.006388052;1999;218500.9487;177255.9041;1050600.98;126393.3622
CYP;0.580078125;0.431793063;3.41E-04;-0.001349987;1999;2162.245147;4092.212092;11229.64487;1684.991185
CZE;0.342578125;0.442979759;8.99E-05;-6.58E-04;1999;30919.51447;31669.80181;59247.75758;20741.91247
DEU;0.469921875;0.306613248;1.66E-04;5.55E-05;1999;600302.8623;520999.8179;1952754.072;288012.2798
DNK;0.443359375;0.322184622;1.37E-04;4.81E-05;1999;63789.14184;52539.42918;148084.7549;29560.56307
ESP;0.484765625;0.370884898;2.70E-04;-5.32E-04;1999;134697.5598;164268.9613;617804.9368;93467.20761
EST;0.405859375;0.499212942;8.39E-05;0.001817594;1999;3304.565322;3740.893189;6012.836114;2306.599314
FIN;0.351171875;0.2950651;1.22E-04;4.24E-04;1999;49564.39404;36014.11466;108589.2916;23910.74198
FRA;0.546191406;0.348228602;5.97E-04;5.54E-04;1999;351545.1491;312844.666;1337767.514;183959.9131
GBR;0.394140625;0.262007336;8.58E-05;-0.001885054;1999;365501.0049;356517.8114;1412873.314;183557.0656
GRC;0.545019531;0.361543319;4.51E-04;6.73E-04;1999;16897.0862;37335.68868;152477.8793;13793.25391
HUN;0.533300781;0.611044137;1.56E-04;9.92E-04;1999;26340.25384;29157.66169;48855.96311;21012.49359
IDN;0.222265625;0.200926858;9.29E-05;-0.001456917;1999;51848.51819;37259.63484;152232.3077;24751.60329
IND;0.456640625;0.271208926;3.35E-04;-3.39E-04;1999;55007.25421;59759.28484;465227.3649;46330.45594
IRL;0.269628906;0.449975741;8.60E-05;7.69E-04;1999;79579.02715;63494.40068;75612.35147;42970.19517
ITA;0.469140625;0.335450734;3.46E-04;-1.76E-04;1999;267446.1124;248998.5014;1117033.42;146527.2929
JPN;0.444140625;0.142387418;1.47E-04;-0.001571902;1999;449039.9644;332977.6957;4248719.002;196860.9143
KOR;0.402734375;0.381101844;3.69E-04;8.29E-04;1999;166448.6521;130177.744;410783.1783;100507.8726
LTU;0.519824219;0.458337759;1.31E-04;-6.15E-04;1999;3530.441933;4855.910844;11461.56674;2517.079316
LUX;0.334765625;0.576418084;6.12E-05;-6.89E-04;1999;24659.51873;21572.06919;16901.14169;15286.43495
LVA;0.359765625;0.337835298;1.34E-04;-6.06E-05;1999;2697.957907;3166.02198;7396.155811;1642.85209
MEX;0.587109375;0.450168235;5.63E-04;0.001717676;1999;140102.4491;140646.907;527088.0382;90953.60611
MLT;0.587109375;0.621607113;1.13E-04;7.76E-04;1999;2486.676154;3136.085302;4396.682498;1838.638336
NLD;0.397265625;0.409399241;1.23E-04;-2.54E-04;1999;212322.0943;184993.3024;365732.5447;120184.5405
POL;0.487890625;0.395338435;1.85E-04;-2.61E-04;1999;40164.01398;47847.68809;166385.5679;27020.19677
PRT;0.508105469;0.423235926;1.63E-04;-3.32E-04;1999;29866.78354;43418.06506;127450.5093;22394.63432
ROM;0.319140625;0.311346023;1.15E-04;-4.96E-04;1999;9671.496321;11308.97597;36470.30033;6426.762411
RUS;0;0.097302954;1.28E-05;-0.006574335;1999;73610.60082;40972.58719;151148.7584;20662.07071
RoW;0.412109375;0.33857913;5.12E-04;0.001097216;1999;824736.1447;1054353.076;3486683.834;643263.0158
SVK;0.384765625;0.48674589;7.76E-05;-8.04E-04;1999;11639.41448;12105.04929;20114.06969;7606.800048
SVN;0.424609375;0.433249478;1.52E-04;3.40E-05;1999;9573.697772;10471.02854;21511.93815;6151.3018
SWE;0.412890625;0.372507753;1.66E-04;-0.001679302;1999;107075.3211;85453.43044;222384.696;57559.85427
TUR;0.512207031;0.323284901;3.08E-04;0.001804286;1999;40944.05528;45700.19257;257564.5237;28362.91311
TWN;0.393359375;0.394716873;1.61E-04;1.40E-04;1999;140576.3744;125228.8905;282906.4881;76166.71295
USA;0.462109375;0.18079137;2.43E-04;0.005113037;1999;889289.0804;1111816.713;9609265.675;570581.6797
AUS;0.312109375;0.204830585;6.28E-05;8.63E-04;2000;90273.74643;83571.79432;376251.4077;46240.42092
AUT;0.433984375;0.377495977;1.18E-04;2.93E-04;2000;78442.82273;75856.15418;178951.7281;44051.91556
BEL;0.425390625;0.497741071;1.13E-04;-9.71E-04;2000;161850.1871;147219.9575;208391.4283;96544.95884
BGR;0.433984375;0.499126421;1.16E-04;2.49E-04;2000;6339.866866;6601.363981;12258.74641;4424.897317
BRA;0.521582031;0.285653388;3.19E-04;0.002361349;2000;64412.27851;71432.03616;612024.9184;47023.42491
CAN;0.377734375;0.331339524;1.75E-04;0.001342019;2000;319788.3388;263380.9376;646112.5158;153723.7164
CHN;0.300390625;0.268060055;9.22E-05;-0.001701401;2000;279546.9881;234740.1311;1164834.202;172487.5767
CYP;0.624121094;0.489806295;4.29E-04;0.001005874;2000;2173.264384;4242.130682;10854.75894;1803.197428
CZE;0.362890625;0.50593788;9.97E-05;-7.25E-04;2000;33723.87012;35362.21257;57043.33288;24347.47353
DEU;0.452734375;0.328519483;1.36E-04;7.43E-04;2000;614536.8491;548615.6866;1741002.445;306189.496
DNK;0.444921875;0.363474076;1.63E-04;7.64E-04;2000;68026.87569;56304.49962;135982.0584;34144.14546
ESP;0.505761719;0.429700484;2.97E-04;-3.73E-05;2000;140903.5071;175674.6976;589500.3164;108881.4187
EST;0.372265625;0.504061732;1.33E-04;-9.15E-05;2000;3801.33606;4096.485075;6077.423365;2666.24411
FIN;0.374609375;0.352750026;1.49E-04;0.00245864;2000;51607.93722;38668.46865;102241.5686;27742.47632
FRA;0.549707031;0.38853257;6.56E-04;9.27E-04;2000;349817.3194;329007.3611;1240773.214;201717.6803
